Dates,Hotel,Airport,InviaCode,Operator,MealType,Minute
"2.5. - 9.5.
							(8 dní)",Sunshine Rhodes,Letecky - Vídeň,52988,Solartour SK,All Inclusive,
"4.5. - 11.5.
							(8 dní)",Sunshine Rhodes,Letecky - Vídeň,52988,Solartour SK,All Inclusive,
"30.4. - 7.5.
							(8 dní)",Dessole Olympos Beach,Letecky - Vídeň,33367,Eti Slovensko SK,All Inclusive,
"2.5. - 9.5.
							(8 dní)",Dessole Olympos Beach,Letecky - Vídeň,33367,Solartour SK,All Inclusive,
"4.5. - 11.5.
							(8 dní)",Dessole Olympos Beach,Letecky - Vídeň,33367,Solartour SK,All Inclusive,
"9.4. - 16.4.
							(8 dní)",Mitsis Rhodos Village,Letecky - Vídeň,60631,Eti Slovensko SK,All Inclusive,Last minute
"9.4. - 23.4.
							(15 dní)",Mitsis Rhodos Village,Letecky - Vídeň,60631,Eti Slovensko SK,All Inclusive,Last minute
"16.4. - 23.4.
							(8 dní)",Mitsis Rhodos Village,Letecky - Vídeň,60631,Eti Slovensko SK,All Inclusive,
"16.4. - 30.4.
							(15 dní)",Mitsis Rhodos Village,Letecky - Vídeň,60631,Eti Slovensko SK,All Inclusive,
"23.4. - 30.4.
							(8 dní)",Mitsis Rhodos Village,Letecky - Vídeň,60631,Eti Slovensko SK,All Inclusive,
"23.4. - 7.5.
							(15 dní)",Mitsis Rhodos Village,Letecky - Vídeň,60631,Eti Slovensko SK,All Inclusive,
"30.4. - 7.5.
							(8 dní)",Mitsis Rhodos Village,Letecky - Vídeň,60631,Eti Slovensko SK,All Inclusive,
"5.5. - 12.5.
							(8 dní)",Kolymbia Star,Letecky - Praha,8468,Fischer,All Inclusive,FM
"5.5. - 12.5.
							(8 dní)",Kolymbia Star,Letecky - Praha,8468,Fischer,Polopenze,FM
"5.5. - 12.5.
							(8 dní)",Irene Palace,Letecky - Praha,8384,Fischer,All Inclusive,FM
"5.5. - 12.5.
							(8 dní)",Irene Palace,Letecky - Praha,8384,Fischer,Polopenze,FM
"5.5. - 12.5.
							(8 dní)",Avra Beach,Letecky - Praha,7942,Fischer,All Inclusive,FM
"23.4. - 30.4.
							(8 dní)",Blue Sea Beach Resort,Letecky - Vídeň,7981,Eti Slovensko SK,All Inclusive,
"23.4. - 7.5.
							(15 dní)",Blue Sea Beach Resort,Letecky - Vídeň,7981,Eti Slovensko SK,All Inclusive,
"30.4. - 7.5.
							(8 dní)",Blue Sea Beach Resort,Letecky - Vídeň,7981,Eti Slovensko SK,All Inclusive,
"5.5. - 12.5.
							(8 dní)",Evi,Letecky - Praha,27706,Fischer,All Inclusive,FM
"9.4. - 16.4.
							(8 dní)",Apollo Beach,Letecky - Vídeň,7862,Eti Slovensko SK,Polopenze,Last minute
"9.4. - 16.4.
							(8 dní)",Apollo Beach,Letecky - Vídeň,7862,Eti Slovensko SK,All Inclusive,Last minute
"9.4. - 23.4.
							(15 dní)",Apollo Beach,Letecky - Vídeň,7862,Eti Slovensko SK,Polopenze,Last minute
"9.4. - 23.4.
							(15 dní)",Apollo Beach,Letecky - Vídeň,7862,Eti Slovensko SK,All Inclusive,Last minute
"16.4. - 23.4.
							(8 dní)",Apollo Beach,Letecky - Vídeň,7862,Eti Slovensko SK,Polopenze,
"16.4. - 23.4.
							(8 dní)",Apollo Beach,Letecky - Vídeň,7862,Eti Slovensko SK,All Inclusive,
"16.4. - 30.4.
							(15 dní)",Apollo Beach,Letecky - Vídeň,7862,Eti Slovensko SK,Polopenze,
"16.4. - 30.4.
							(15 dní)",Apollo Beach,Letecky - Vídeň,7862,Eti Slovensko SK,All Inclusive,
"23.4. - 30.4.
							(8 dní)",Apollo Beach,Letecky - Vídeň,7862,Eti Slovensko SK,Polopenze,
"23.4. - 30.4.
							(8 dní)",Apollo Beach,Letecky - Vídeň,7862,Eti Slovensko SK,All Inclusive,
"2.5. - 9.5.
							(8 dní)",Olive Garden,Letecky - Vídeň,30566,Solartour SK,All Inclusive,
"4.5. - 11.5.
							(8 dní)",Olive Garden,Letecky - Vídeň,30566,Solartour SK,All Inclusive,
"5.5. - 12.5.
							(8 dní)",Aelia Resort,Letecky - Praha,103830,Fischer,All Inclusive,FM
"5.5. - 12.5.
							(8 dní)",Esperides Beach,Letecky - Praha,8160,Fischer,All Inclusive,FM
"2.5. - 9.5.
							(8 dní)",Princess Sun,Letecky - Vídeň,8959,Solartour SK,All Inclusive,
"4.5. - 11.5.
							(8 dní)",Princess Sun,Letecky - Vídeň,8959,Solartour SK,All Inclusive,
"5.5. - 12.5.
							(8 dní)",Filerimos Village,Letecky - Praha,21886,Fischer,All Inclusive,FM
"16.4. - 23.4.
							(8 dní)",Mitsis Faliraki Beach Resort,Letecky - Vídeň,29364,Eti Slovensko SK,All Inclusive,
"16.4. - 30.4.
							(15 dní)",Mitsis Faliraki Beach Resort,Letecky - Vídeň,29364,Eti Slovensko SK,All Inclusive,
"23.4. - 30.4.
							(8 dní)",Mitsis Faliraki Beach Resort,Letecky - Vídeň,29364,Eti Slovensko SK,All Inclusive,
"2.5. - 9.5.
							(8 dní)",Blue Horizon,Letecky - Vídeň,7969,Solartour SK,Plná penze,
"2.5. - 9.5.
							(8 dní)",Blue Horizon,Letecky - Vídeň,7969,Solartour SK,Snídaně,
"2.5. - 9.5.
							(8 dní)",Blue Horizon,Letecky - Vídeň,7969,Solartour SK,Polopenze,
"4.5. - 11.5.
							(8 dní)",Blue Horizon,Letecky - Vídeň,7969,Solartour SK,Plná penze,
"4.5. - 11.5.
							(8 dní)",Blue Horizon,Letecky - Vídeň,7969,Solartour SK,Snídaně,
"4.5. - 11.5.
							(8 dní)",Blue Horizon,Letecky - Vídeň,7969,Solartour SK,Polopenze,
"23.4. - 30.4.
							(8 dní)",Mitsis Petit Palais,Letecky - Vídeň,79427,Eti Slovensko SK,All Inclusive,
"23.4. - 7.5.
							(15 dní)",Mitsis Petit Palais,Letecky - Vídeň,79427,Eti Slovensko SK,All Inclusive,
"30.4. - 7.5.
							(8 dní)",Mitsis Petit Palais,Letecky - Vídeň,79427,Eti Slovensko SK,All Inclusive,
"2.5. - 9.5.
							(8 dní)",Mitsis Petit Palais,Letecky - Vídeň,79427,Solartour SK,All Inclusive,
"4.5. - 11.5.
							(8 dní)",Mitsis Petit Palais,Letecky - Vídeň,79427,Solartour SK,All Inclusive,-7%
